               table_name               | table_size | last_vacuum |        last_autovacuum        |         last_analyze          |       last_autoanalyze        | relpages | approx_row_count 
----------------------------------------+------------+-------------+-------------------------------+-------------------------------+-------------------------------+----------+------------------
 agricultural_land_classification_raw   | 33 MB      |             |                               | 2025-10-10 13:11:46.748115+00 | 2025-10-09 14:29:12.320691+00 |      192 |              585
 ancient_woodland_raw                   | 70 MB      |             | 2025-10-09 14:37:14.046007+00 | 2025-10-10 13:11:48.099875+00 | 2025-10-09 14:37:14.732418+00 |     7704 |            44373
 archaeological_priority_area_raw       | 2048 kB    |             |                               | 2025-10-10 13:11:56.178705+00 | 2025-10-09 15:04:12.986718+00 |      208 |              738
 area_of_outstanding_natural_beauty_raw | 8184 kB    |             |                               | 2025-10-10 13:11:54.982714+00 |                               |        2 |               34
 article_4_direction_area_raw           | 7168 kB    |             | 2025-10-09 14:07:11.78987+00  | 2025-10-10 13:11:50.798761+00 | 2025-10-09 14:07:11.967633+00 |      497 |             4400
 asset_of_community_value_raw           | 64 kB      |             |                               | 2025-10-10 13:11:46.794687+00 | 2025-10-09 15:12:13.057415+00 |        4 |               97
 battlefield_raw                        | 408 kB     |             |                               | 2025-10-10 13:11:54.28578+00  |                               |       40 |               47
 border_raw                             | 14 MB      |             |                               | 2025-10-10 13:11:53.402499+00 |                               |        1 |                1
 brownfield_land_raw                    | 22 MB      |             | 2025-10-09 15:32:13.720373+00 | 2025-10-10 13:11:56.979169+00 | 2025-10-09 15:32:14.597373+00 |     2568 |            34944
 brownfield_site_raw                    | 1680 kB    |             | 2025-10-09 15:37:13.701336+00 | 2025-10-10 13:11:55.464454+00 | 2025-10-09 15:37:13.776562+00 |      180 |             2852
 built_up_area_raw                      | 53 MB      |             | 2025-10-09 15:44:14.826425+00 | 2025-10-10 13:11:56.131047+00 | 2025-10-09 15:44:17.818372+00 |     3504 |             7157
 certificate_of_immunity_raw            | 256 kB     |             |                               | 2025-10-10 13:11:57.817649+00 | 2025-10-09 15:50:14.033131+00 |       24 |              259
 conservation_area_raw                  | 74 MB      |             | 2025-10-09 13:06:10.556198+00 | 2025-10-10 13:11:51.780445+00 | 2025-10-09 13:06:11.07764+00  |     4000 |             8162
 designcodearea_raw                     | 352 kB     |             |                               | 2025-10-10 13:11:57.823424+00 |                               |        3 |               11
 flood_risk_zones_raw                   | 1401 MB    |             | 2025-10-09 11:43:12.909611+00 | 2025-10-10 13:11:50.514389+00 | 2025-10-09 11:43:15.531885+00 |    46672 |           740969
 floodstoragearea_raw                   | 1472 kB    |             |                               | 2025-10-10 13:11:57.846718+00 | 2025-10-10 08:54:35.918018+00 |      128 |              510
 green_belt_raw                         | 16 MB      |             |                               | 2025-10-10 13:11:46.931163+00 | 2025-10-09 13:59:11.71047+00  |       16 |              188
 listedbuilding_raw                     | 116 MB     |             | 2025-10-10 08:56:36.970657+00 | 2025-10-10 13:11:58.754184+00 | 2025-10-10 08:56:38.355408+00 |    11784 |           379840
 local_planning_authority_raw           | 27 MB      |             |                               | 2025-10-10 13:11:57.167987+00 | 2025-10-09 12:43:10.073607+00 |       16 |              337
 localauthoritydistrict_raw             | 37 MB      |             |                               | 2025-10-10 13:12:04.964579+00 | 2025-10-10 09:28:36.743584+00 |       16 |              344
 nationalpark_raw                       | 2200 kB    |             |                               | 2025-10-10 13:12:04.974103+00 |                               |        1 |               10
 parish_raw                             | 138 MB     |             | 2025-10-10 09:05:36.115999+00 | 2025-10-10 13:12:01.449302+00 | 2025-10-10 09:06:38.179743+00 |     3904 |            10907
 parkandgarden_raw                      | 6048 kB    |             | 2025-10-10 09:01:36.242038+00 | 2025-10-10 13:11:58.819933+00 | 2025-10-10 09:01:36.463278+00 |      627 |             1719
 planningapplication_raw                | 53 MB      |             | 2025-10-10 09:29:37.352831+00 | 2025-10-10 13:12:05.756588+00 | 2025-10-10 09:29:38.155018+00 |     5948 |            98696
 ramsar_raw                             | 3584 kB    |             |                               | 2025-10-10 13:12:05.790609+00 | 2025-10-10 09:29:38.185272+00 |       16 |               73
 region_raw                             | 7784 kB    |             |                               | 2025-10-10 13:12:05.800937+00 |                               |        1 |                9
 scheduledmonument_raw                  | 18 MB      |             | 2025-10-10 09:30:37.152687+00 | 2025-10-10 13:12:06.139824+00 | 2025-10-10 09:30:37.618578+00 |     2096 |            20017
 siteofspecialscientificinterest_raw    | 38 MB      |             | 2025-10-10 09:31:37.412092+00 | 2025-10-10 13:12:06.590756+00 | 2025-10-10 09:31:38.529427+00 |     1184 |             4128
 specialareaofconservation_raw          | 20 MB      |             |                               | 2025-10-10 13:12:06.714641+00 | 2025-10-10 09:32:36.934883+00 |       64 |              260
 specialprotectionarea_raw              | 14 MB      |             |                               | 2025-10-10 13:12:06.776001+00 | 2025-10-10 09:32:36.94694+00  |        8 |               88
 titleboundary_raw                      | 916 MB     |             | 2025-10-10 09:48:45.028572+00 | 2025-10-10 13:12:11.240278+00 | 2025-10-10 09:49:42.451836+00 |    94672 |          2593164
 ward_raw                               | 16 MB      |             | 2025-10-10 10:56:43.80259+00  | 2025-10-10 13:12:18.575962+00 | 2025-10-10 10:56:43.928037+00 |     1744 |             6817
 worldheritagesite_raw                  | 1464 kB    |             |                               | 2025-10-10 13:12:18.596275+00 |                               |        8 |               20
 worldheritagesitebufferzone_raw        | 440 kB     |             |                               | 2025-10-10 13:12:18.585998+00 |                               |        4 |                9
(34 rows)

