table_name,source_url,provider,collector_last_ran_on,new_data_last_found_on,last_ingested_at,licence,origin
agricultural_land_classification_raw,https://www.planning.data.gov.uk/dataset/agricultural-land-classification,Planning and housing data in England,2025-10-10,2024-07-15,2025-09-10,Licensed under the Open Government Licence v.3.0.,Data created by MHCLG. We will replace this with data from authoritative sources when it is available.
ancient_woodland_raw,https://www.planning.data.gov.uk/dataset/ancient-woodland,Planning and housing data in England,2025-10-10,2024-09-27,2025-09-10,Licensed under the Open Government Licence v.3.0.,All data from authoritative sources
archaeological_priority_area_raw,https://www.planning.data.gov.uk/dataset/archaeological-priority-area,Planning and housing data in England,2025-10-10,2025-10-02,2025-09-10,Licensed under the Open Government Licence v.3.0.,All data from authoritative sources
area_of_outstanding_natural_beauty_raw,https://www.planning.data.gov.uk/dataset/area-of-outstanding-natural-beauty,Planning and housing data in England,2025-10-10,2024-04-10,2025-08-10,Licensed under the Open Government Licence v.3.0.,All data from authoritative sources
article_4_direction_area_raw,https://www.planning.data.gov.uk/dataset/article-4-direction-area,Planning and housing data in England,2025-10-10,2025-10-10,2025-08-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
asset_of_community_value_raw,https://www.planning.data.gov.uk/dataset/asset-of-community-value,Planning and housing data in England,2025-10-10,2025-10-10,2025-09-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
battlefield_raw,https://www.planning.data.gov.uk/dataset/battlefield,Planning and housing data in England,2025-10-10,2025-12-02,2025-09-10,Licensed under the Open Government Licence v.3.0.,All data from authoritative sources
border_raw,https://www.planning.data.gov.uk/dataset/border,Planning and housing data in England,2025-10-10,2024-07-30,2025-09-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
brownfield_land_raw,https://www.planning.data.gov.uk/dataset/brownfield-land,Planning and housing data in England,2025-10-10,2025-09-10,2025-09-10,Licensed under the Open Government Licence v.3.0.,All data from authoritative sources
brownfield_site_raw,https://www.planning.data.gov.uk/dataset/brownfield-site,Planning and housing data in England,2025-10-10,2025-12-24,2025-09-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
built_up_area_raw,https://www.planning.data.gov.uk/dataset/built-up-area,Planning and housing data in England,2025-10-10,2024-11-06,2025-09-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
certificate_of_immunity_raw,https://www.planning.data.gov.uk/dataset/certificate-of-immunity,Planning and housing data in England,2025-10-10,2025-10-10,2025-09-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
conservation_area_raw,https://www.planning.data.gov.uk/dataset/conservation-area,Planning and housing data in England,2025-10-10,2025-08-10,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
designcodearea_raw,https://www.planning.data.gov.uk/dataset/design-code-area,Planning and housing data in England,2025-10-10,2022-06-07,2025-10-10,Licensed under the Open Government Licence v.3.0.,Data created by MHCLG. We will replace this with data from authoritative sources when it is available.
flood_risk_zones_raw,https://www.planning.data.gov.uk/dataset/flood-risk-zone,Planning and housing data in England,2023-01-11,2023-08-24,2025-08-10,Licensed under the Open Government Licence v.3.0.,All data from authoritative sources
